date,nav,daily_return,regime,n_positions,gross_exposure,costs
2011-01-03,999787.37,0.0,Goldilocks,10,1063132.95,212.63
2011-01-04,986831.26,-0.012959,Goldilocks,8,1057290.76,151.91
2011-01-05,991573.08,0.004805,Goldilocks,11,1132038.62,136.58
2011-01-06,990881.15,-0.000698,Goldilocks,10,1033566.41,38.14
2011-01-07,991244.23,0.000366,Goldilocks,11,1011050.8,89.92
2011-01-10,996445.0,0.005247,Goldilocks,10,899541.1,118.93
2011-01-11,1007808.73,0.011404,Goldilocks,10,894788.8,64.05
2011-01-12,1012288.98,0.004446,Goldilocks,10,941203.7,46.35
2011-01-13,1006035.11,-0.006178,Goldilocks,12,1117646.01,86.79
2011-01-14,1000739.93,-0.005263,Goldilocks,10,894816.36,121.46
2011-01-18,1005935.28,0.005192,Goldilocks,10,926465.55,108.35
2011-01-19,999972.98,-0.005927,Goldilocks,8,918225.0,115.16
2011-01-20,983501.45,-0.016472,Goldilocks,10,1071316.73,64.27
2011-01-21,984552.14,0.001068,Goldilocks,11,999785.81,59.36
2011-01-24,982615.19,-0.001967,Goldilocks,10,986950.39,39.56
2011-01-25,980389.72,-0.002265,Goldilocks,11,989228.71,112.98
2011-01-26,992479.55,0.012332,Goldilocks,10,1143139.96,125.51
2011-01-27,996738.76,0.004291,Goldilocks,9,1212027.38,66.55
2011-01-28,1022854.22,0.026201,Goldilocks,11,1338394.49,99.84
2011-01-31,1029878.89,0.006868,Goldilocks,10,1243223.12,83.26
2011-02-01,1037077.47,0.00699,Goldilocks,10,1189733.99,99.0
2011-02-02,1031140.7,-0.005725,Goldilocks,9,1073793.89,29.37
2011-02-03,1034574.17,0.00333,Goldilocks,10,1102936.3,102.12
2011-02-04,1039075.9,0.004351,Goldilocks,9,1027907.21,92.07
2011-02-07,1036374.27,-0.0026,Goldilocks,10,1076534.01,36.43
2011-02-08,1043168.25,0.006556,Goldilocks,8,928545.4,102.82
2011-02-09,1042790.24,-0.000362,Goldilocks,9,886887.76,41.36
2011-02-10,1033358.07,-0.009045,Goldilocks,12,1130238.51,114.51
2011-02-11,1031762.63,-0.001544,Goldilocks,10,1053707.9,121.45
2011-02-14,1035879.82,0.00399,Goldilocks,7,1002781.0,140.7
2011-02-15,1039790.86,0.003776,Goldilocks,10,1031083.36,244.97
2011-02-16,1040960.19,0.001125,Goldilocks,9,1030035.99,168.31
2011-02-17,1039696.65,-0.001214,Goldilocks,10,980456.0,68.54
2011-02-18,1032289.25,-0.007125,Goldilocks,10,1012096.89,153.64
2011-02-22,1026265.27,-0.005836,Goldilocks,9,970576.19,153.89
2011-02-23,1005338.37,-0.020391,Goldilocks,11,1122459.79,63.79
2011-02-24,1005036.42,-0.0003,Goldilocks,11,1109213.41,22.83
2011-02-25,1013268.25,0.008191,Goldilocks,11,1088787.0,20.1
2011-02-28,1012345.69,-0.00091,Goldilocks,11,1080844.72,19.34
2011-03-01,989998.61,-0.022075,Goldilocks,10,974935.79,57.98
2011-03-02,981568.29,-0.008515,Goldilocks,8,703942.01,59.12
2011-03-03,984122.3,0.002602,Goldilocks,10,865602.9,33.59
2011-03-04,978443.17,-0.005771,Goldilocks,11,1084805.8,55.73
2011-03-07,973605.33,-0.004944,Goldilocks,9,865554.31,75.85
2011-03-08,977282.94,0.003777,Goldilocks,8,739814.91,39.79
2011-03-09,973964.42,-0.003396,Goldilocks,8,777539.15,58.76
2011-03-10,977267.17,0.003391,Goldilocks,8,815251.43,67.97
2011-03-11,981256.93,0.004083,Goldilocks,10,1010215.39,84.29
2011-03-14,981557.55,0.000306,Goldilocks,8,676065.35,88.17
2011-03-15,984922.49,0.003428,Goldilocks,9,865160.8,81.59
2011-03-16,980636.48,-0.004352,Goldilocks,8,742902.39,72.92
2011-03-17,972601.65,-0.008193,Goldilocks,7,735129.19,39.04
2011-03-18,977379.57,0.004913,Goldilocks,8,702761.06,25.48
2011-03-21,975081.0,-0.002352,Goldilocks,8,801224.79,28.58
2011-03-22,970264.25,-0.00494,Goldilocks,7,757806.5,10.04
2011-03-23,970658.19,0.000406,Goldilocks,7,772634.86,43.47
2011-03-24,972900.66,0.00231,Goldilocks,8,1098912.6,92.76
2011-03-25,969952.95,-0.00303,Goldilocks,7,779588.01,81.83
2011-03-28,973147.88,0.003294,Goldilocks,9,925425.56,78.26
2011-03-29,976041.75,0.002974,Goldilocks,8,1059836.36,47.84
2011-03-30,973723.75,-0.002375,Goldilocks,8,972206.48,46.36
2011-03-31,967334.09,-0.006562,Goldilocks,7,737055.71,49.45
2011-04-01,968388.77,0.00109,Goldilocks,8,866957.59,81.91
2011-04-04,967164.36,-0.001264,Goldilocks,8,870663.61,9.41
2011-04-05,964156.86,-0.00311,Goldilocks,9,799282.59,39.51
2011-04-06,964328.66,0.000178,Goldilocks,10,960802.79,66.01
2011-04-07,962888.66,-0.001493,Goldilocks,10,1211908.0,69.79
2011-04-08,945258.89,-0.018309,Goldilocks,10,1174556.39,42.38
2011-04-11,954004.04,0.009252,Goldilocks,10,1120405.99,15.0
2011-04-12,967622.22,0.014275,Goldilocks,10,1111283.94,61.61
2011-04-13,965283.95,-0.002417,Goldilocks,9,917757.8,102.69
2011-04-14,955545.26,-0.010089,Goldilocks,11,1030136.14,57.09
2011-04-15,948396.62,-0.007481,Goldilocks,10,959135.3,155.36
2011-04-18,949856.74,0.00154,Goldilocks,8,899477.6,122.39
2011-04-19,952400.97,0.002679,Goldilocks,8,867079.69,160.69
2011-04-20,945891.06,-0.006835,Goldilocks,7,650349.85,100.56
2011-04-21,945708.29,-0.000193,Goldilocks,9,909978.19,80.92
2011-04-25,935544.11,-0.010748,Goldilocks,7,708479.3,77.58
2011-04-26,936358.19,0.00087,Goldilocks,9,782221.65,67.06
2011-04-27,928633.47,-0.00825,Goldilocks,8,856029.29,37.33
2011-04-28,926369.83,-0.002438,Goldilocks,9,966892.6,52.83
2011-04-29,913067.49,-0.01436,Goldilocks,9,975741.85,24.12
2011-05-02,920132.47,0.007738,Goldilocks,9,930220.78,23.32
2011-05-03,930936.61,0.011742,Goldilocks,8,796895.8,35.84
2011-05-04,940593.51,0.010373,Goldilocks,6,732111.01,113.39
2011-05-05,967640.41,0.028755,Goldilocks,9,830114.81,109.11
2011-05-06,962650.58,-0.005157,Goldilocks,9,959762.65,88.44
2011-05-09,989184.5,0.027563,Goldilocks,8,1134864.61,89.05
2011-05-10,994730.26,0.005606,Goldilocks,7,988060.14,48.76
2011-05-11,986212.35,-0.008563,Goldilocks,8,1021971.6,82.34
2011-05-12,987284.67,0.001087,Goldilocks,9,1081886.64,30.02
2011-05-13,990879.27,0.003641,Goldilocks,9,935612.41,76.64
2011-05-16,978910.52,-0.012079,Goldilocks,9,855359.81,57.15
2011-05-17,978935.31,2.5e-05,Goldilocks,10,1041186.7,77.59
2011-05-18,984216.86,0.005395,Goldilocks,10,1034938.06,38.31
2011-05-19,986911.72,0.002738,Goldilocks,11,1162964.89,44.49
2011-05-20,984611.54,-0.002331,Goldilocks,10,1080167.1,32.97
2011-05-23,978834.47,-0.005867,Goldilocks,10,1027481.21,28.17
2011-05-24,989545.38,0.010943,Goldilocks,9,918855.72,46.54
2011-05-25,995658.57,0.006178,Goldilocks,10,1022059.91,39.55
2011-05-26,996275.12,0.000619,Goldilocks,10,1073373.11,35.16
2011-05-27,992561.57,-0.003727,Goldilocks,7,901895.25,75.16
2011-05-31,991572.96,-0.000996,Goldilocks,9,1206005.06,124.64
2011-06-01,983000.15,-0.008646,Goldilocks,10,1037951.61,104.32
2011-06-02,973443.83,-0.009722,Goldilocks,9,867265.91,55.89
2011-06-03,974243.48,0.000821,Goldilocks,11,1084426.19,59.66
2011-06-06,970186.8,-0.004164,Goldilocks,9,893664.31,105.77
2011-06-07,971715.9,0.001576,Goldilocks,9,871226.79,106.66
2011-06-08,971945.97,0.000237,Goldilocks,10,980092.39,117.12
2011-06-09,983176.5,0.011555,Goldilocks,10,943476.34,10.94
2011-06-10,975488.43,-0.00782,Goldilocks,10,917529.4,11.11
2011-06-13,974044.62,-0.00148,Goldilocks,9,815981.85,39.51
2011-06-14,986657.77,0.012949,Goldilocks,9,924359.2,26.7
2011-06-15,979710.26,-0.007041,Goldilocks,7,775995.25,93.05
2011-06-16,989520.11,0.010013,Goldilocks,6,722500.6,79.65
2011-06-17,994111.06,0.00464,Goldilocks,6,756021.49,134.56
2011-06-20,994962.31,0.000856,Goldilocks,7,802503.5,59.74
2011-06-21,987251.98,-0.007749,Goldilocks,8,743412.5,39.33
2011-06-22,989282.11,0.002056,Goldilocks,10,868734.11,106.37
2011-06-23,978784.43,-0.010611,Goldilocks,9,924211.19,88.78
2011-06-24,975340.19,-0.003519,Goldilocks,9,1033300.59,107.23
2011-06-27,972646.47,-0.002762,Goldilocks,9,1019954.3,59.43
