date,nav,daily_return,regime,n_positions,gross_exposure,costs
2011-01-03,999810.46,0.0,Goldilocks,10,947722.11,189.54
2011-01-04,981847.1,-0.017967,Goldilocks,12,1101895.26,87.25
2011-01-05,990269.92,0.008579,Goldilocks,10,788753.62,78.38
2011-01-06,990659.35,0.000393,Goldilocks,9,848364.41,34.78
2011-01-07,988482.67,-0.002197,Goldilocks,10,899567.25,67.18
2011-01-10,989505.83,0.001035,Goldilocks,9,779678.85,118.14
2011-01-11,991474.75,0.00199,Goldilocks,9,854611.6,105.62
2011-01-12,992309.05,0.000841,Goldilocks,8,731339.19,112.38
2011-01-13,989110.15,-0.003224,Goldilocks,10,907938.71,54.43
2011-01-14,983925.56,-0.005242,Goldilocks,9,689043.16,102.27
2011-01-18,989520.55,0.005686,Goldilocks,10,975052.55,60.9
2011-01-19,984894.64,-0.004675,Goldilocks,8,821103.9,77.27
2011-01-20,969669.64,-0.015459,Goldilocks,11,1051065.64,87.98
2011-01-21,972128.82,0.002536,Goldilocks,11,1011757.41,22.58
2011-01-24,968089.15,-0.004155,Goldilocks,11,1016607.24,21.03
2011-01-25,962981.41,-0.005276,Goldilocks,10,881730.8,59.7
2011-01-26,970515.23,0.007823,Goldilocks,12,1002705.06,53.73
2011-01-27,972999.36,0.00256,Goldilocks,11,1045477.39,39.71
2011-01-28,987727.09,0.015136,Goldilocks,10,964602.0,45.89
2011-01-31,995194.37,0.00756,Goldilocks,11,1054243.82,30.52
2011-02-01,1001896.07,0.006734,Goldilocks,10,929369.79,63.29
2011-02-02,995724.53,-0.00616,Goldilocks,9,821981.0,40.75
2011-02-03,998712.19,0.003,Goldilocks,11,1059357.4,103.34
2011-02-04,994706.41,-0.004011,Goldilocks,12,1097055.61,38.48
2011-02-07,996783.22,0.002088,Goldilocks,11,1039059.21,12.78
2011-02-08,1007756.24,0.011008,Goldilocks,12,1026914.4,34.17
2011-02-09,1011396.48,0.003612,Goldilocks,10,882211.8,31.15
2011-02-10,1000079.89,-0.011189,Goldilocks,11,982377.0,84.4
2011-02-11,999645.99,-0.000434,Goldilocks,11,985894.9,69.9
2011-02-14,1010411.93,0.01077,Goldilocks,12,1017855.1,51.57
2011-02-15,1007239.2,-0.00314,Goldilocks,11,930508.6,117.73
2011-02-16,1013206.36,0.005924,Goldilocks,9,723986.11,97.34
2011-02-17,1011693.39,-0.001493,Goldilocks,10,779893.19,47.66
2011-02-18,1010940.03,-0.000745,Goldilocks,10,864390.94,107.81
